id,name,tier,finalScore,baseScore,authScore,role,seniority,status,needsManualReview,outletName,outletSlug,outletTier,outletDR,competitorBacklinks,writesForCount,writesFor,beats,credentials,certifications,certificationsVerified,education,yearsInIndustry,location,linkedin,twitter,muckrack,personalSite,authorUrl,email,emailVerified,quotedInTier1,tvAppearances,authoredBooks,industryAwards,linkedinFollowers,linkedinConnections,linkedinFetchedAt,muckrackArticleCount,hasKnowledgePanel,ownedDomain,finraBrokerCheckStatus,discoveryMethod,notes,bio
sharon-epperson,Sharon Epperson,A,114,91,25,Senior Personal Finance Correspondent — CNBC,senior,active,,CNBC,cnbc,T1,93,2,2,cnbc; nbcnews,personal-finance; retirement; investing; financial-journalism,,,,(see Wikipedia — Smith College/Columbia tradition)@Columbia University (adjunct faculty),30,USA,https://www.linkedin.com/in/sharoneppersoncnbc,https://x.com/sharon_epperson,https://muckrack.com/sharon_epperson,,https://www.cnbc.com/sharon-epperson/,,,CNBC,CNBC; NBC News (Today); NBC Nightly News,,,,500+,2026-04-16T00:00:00Z,,y,,,L9-muckrack (403) + Rule A,,"CNBC's Senior Personal Finance Correspondent and creator/editor of the 'Money 101 Newsletter'. Also appears on NBC News shows — Today and NBC Nightly News. Adjunct professor at Columbia University's School of International and Public Affairs. Began with CNBC in 1996. Expertise: saving and investing for retirement, paying for college, managing mortgage/student loan/credit card debt, building financial legacy through estate planning."
bob-mason-fxempire,Bob Mason,A,114,89,28,Author / Financial Consultant,senior,active,,FXEmpire,fxempire,T2,73,2,4,fxempire; kitco; jpost; huffpost,forex; crypto; equity; credit; markets,,,,BSc Chemistry / Biology@Oxford Brookes University,28,Europe / Asia,https://www.linkedin.com/in/bob-mason-6677192/,https://x.com/BobMaso55362638,https://muckrack.com/bob-mason-2,,https://www.fxempire.com/author/bobmason,bobmason@fxempire.com,y,The Jerusalem Post; Huffington Post,,,,,,,,,,,L7-websearch,,"Financial consultant and author at FX Empire since December 2016 with 28 years in the financial industry. Co-founder of VersatileQ, a boutique research and advisory firm focused on Asia. Previously managed regional teams across Europe and Asia at global rating agencies and multinational banks. Experience includes building index products for investment banks, risk management, analytics, and macroeconomic analysis. Ex-Research Analyst at IdealFX (S) Pte Ltd, Senhouse Asia, and family offices. Coverage includes FX, energy, equities, cryptocurrencies, credit. Regularly considers FX, geopolitical, credit, and macroeconomic risk drivers."
daniel-phillips-coinmarketcap,Daniel Phillips,A,114,88,30,Cryptocurrency Writer — CoinMarketCap Academy,staff,active,,CoinMarketCap,coinmarketcap,T1,91,6,7,coinmarketcap; decrypt; ledger; okex; beincrypto; republic_crypto; cryptonews,crypto; blockchain; defi; bitcoin,,,,Masters in Regenerative Medicine@,9,,https://www.linkedin.com/in/danielcrypto/,,https://muckrack.com/daniel-phillips-1,https://linktr.ee/akindofmind,https://coinmarketcap.com/academy/author/daniel-phillips,,,,,,,,,,,,,,direct_aggregate,,"Blockchain journalist, analyst and Solidity developer with cryptocurrency expertise since 2017. Started in crypto sector as Bitcoin miner in 2015. Masters in Regenerative Medicine before pivoting to blockchain. Specializes in DeSci, AI, DeFi, FHE and altcoin trends. Primary holdings: BTC, ETH, SOL, SUI. Previously wrote for Ledger, Decrypt, OKEx, BeInCrypto, Republic Crypto, and Cryptonews."
scott-murdoch-reuters,Scott Murdoch,A,114,91,25,"Lead Writer, Asia Finance & Markets — Reuters",senior,active,,Reuters,reuters,T1,94,2,2,reuters; theaustralian,markets; equity; fixed-income; financial-journalism,,,,,22,"Sydney, NSW, Australia",https://au.linkedin.com/in/scott-murdoch-882b20146,https://twitter.com/murdochsj,https://muckrack.com/scott-murdoch,,https://muckrack.com/scott-murdoch,,y,Reuters; The Australian; News Corp,,,,2669,,2026-04-16,,,,,L9 + Rule A (muckrack 403 → WebSearch recovery),,"Lead Writer for Asia Finance & Markets at Reuters (formerly Asia Capital Markets Correspondent). Journalist for more than two decades with Thomson Reuters and News Corp in Australia, specialising in financial journalism. Covers equity and debt capital markets across Asia and Australian M&A. Previously Data Room Co-Editor at The Australian (2017-2019) and China Correspondent in Beijing. Co-founder of @sandochracing. Based in Sydney."
anna-bahney-cnn,Anna Bahney,A,114,87,31,Housing & Personal Finance Reporter — CNN Business,staff,active,,CNN Business,cnn_business,T1,95,0,4,cnn_business; nyt; usatoday; mic,housing; personal-finance; investing,,,,Bachelor's@Emory University; Master's in Journalism@Columbia School of Journalism,20,"Silver Spring, Maryland, United States",https://www.linkedin.com/in/annabahney/,https://x.com/annabahney,https://muckrack.com/annabahney,http://www.annabahney.com/about,https://muckrack.com/annabahney,,,NYT; USA Today,,,,,,,,,true,,L9 + Rule A (muckrack 403 → WebSearch recovery),,"Writer for CNN covering investments and real estate, focusing on traditional, alternative, real estate and cryptocurrency markets. Currently Housing & Personal Finance reporter at CNN Business. Prior: launched financial coverage at Mic; broke housing news during the financial crisis as real estate reporter for USA Today. Nearly a decade at The New York Times covering real estate, youth culture, travel; reported from ground zero on September 11, 2001. Fellow at Columbia Journalism Review."
kimberly-palmer-usnews,Kimberly Palmer,A,113,86,31,Senior Editor / Personal Finance Expert — US News & NerdWallet,senior,active,,US News — Money,usnews_money,T2,88,0,3,usnews_money; nerdwallet; aarp,personal-finance; banking; investing,,,,B.A. History@Amherst College; M.P.P.@University of Chicago,20,"Washington, DC metro, USA",https://www.linkedin.com/in/kimberlyspalmer,,https://muckrack.com/alphaconsumer,http://www.kimberly-palmer.com/about-me,https://www.usnews.com/topics/author/kimberly-palmer,,,,Today Show; Good Morning America,"Smart Mom, Rich Mom; The Economy of You; Generation Earn",,,,,,,kimberly-palmer.com,,L1 + Rule A WebSearch,,"Personal-finance expert, spokesperson and author. Was Senior Money Editor at US News & World Report for 9 years and Money Features Editor at AARP; currently Personal Finance Expert at NerdWallet. Author of three critically-acclaimed books: 'Smart Mom, Rich Mom', 'The Economy of You' and 'Generation Earn'. TV appearances on the Today show and Good Morning America. Adjunct professor at American University teaching a course on mastering social media."
john-divine,John Divine,A,112,89,26,Assistant Managing Editor — Investing (U.S. News & World Report),editor,active,,US News — Money,usnews_money,T2,88,0,3,usnews_money; motleyfool; investorplace,stocks; investing; markets; financial-journalism,,,,BS Finance & Banking (with honors)@Appalachian State University,12,,https://www.linkedin.com/in/johndivine,,https://muckrack.com/divinebizkid,,https://www.usnews.com/topics/author/john-divine,,,WSJ,Cheddar; Money Life with Chuck Jaffe; Market Wrap with Moe Ansari; WSJ Radio; WBBM Chicago; iHeartRadio,,,,,,,,,,L1 WebFetch (timeout) → Rule A recovery,,"Assistant Managing Editor at U.S. News & World Report covering stock market, Wall Street and the economy since 2016. Previously covered the stock market for The Motley Fool and InvestorPlace. Bachelor's in Finance & Banking (with honors), Appalachian State University. After college, spent time at Merrill Lynch and Grandbridge Real Estate Capital (commercial real estate arm of Truist Bank / then BB&T). Began investing while in high school, where he founded the school's Stock Market Club. Appeared on Cheddar, Money Life with Chuck Jaffe, the Invest Like a Boss podcast, Market Wrap with Moe Ansari, iHeartRadio, WSJ Radio, and WBBM Chicago."
jeff-john-roberts-decrypt,Jeff John Roberts,A,112,87,29,"Finance & Crypto Editor, Fortune (former Executive Editor at Decrypt)",editor,former,,Decrypt,decrypt,T2,82,5,2,decrypt; fortune,crypto; blockchain; finance; banking; regulation,,,,Attended@Columbia (Business/Journalism),13,,https://www.linkedin.com/in/jeffjohnroberts,,,https://jeffjohnroberts.com/,https://decrypt.co/author/jeff-john-roberts,,,Fortune; Reuters; BusinessWeek; NYT,,Kings of Crypto: One Startup's Quest to Take Cryptocurrency Out of Silicon Valley and Onto Wall Street,,,500+,2026-04-16,,,jeffjohnroberts.com,,L1_known + Rule A (decrypt.co 404 on /jeff-roberts → found /jeff-john-roberts),"Decrypt tenure 2021-2022, now at Fortune as Finance/Crypto Editor",Finance & Crypto Editor at Fortune and host of the Fortune Crypto Playbook vodcast. Former lawyer turned journalist; has reported on crypto since 2013. Was Executive Editor of Decrypt (2021–2022) and broke several major stories before returning to Fortune. Previously at Gigaom (ex-PaidContent) and Reuters; work has appeared in BusinessWeek and the New York Times. Author of 'Kings of Crypto: One Startup's Quest to Take Cryptocurrency Out of Silicon Valley and Onto Wall Street' (2019). Attended Columbia.
adam-levine-weinberg,"Adam Levine-Weinberg, CFA",A,111,88,26,Contributor — value investor,contributor,active,,Seeking Alpha,seekingalpha,T2,88,8,2,seekingalpha; fool,stocks; investing; equity,CFA,CFA,n,BA@Swarthmore College(2007); MA Political Science@University of Chicago(2009),14,,https://www.linkedin.com/in/adam-levine-weinberg-b7a312163/,,https://muckrack.com/adam-levine-weinberg-cfa,,https://seekingalpha.com/author/adam-levine-weinberg-cfa,,,,,,,,140,2026-04-16,,,,,L7 WebSearch,,"Value investor researching and writing about stocks for Seeking Alpha and The Motley Fool since 2011. Focus on irrationally beaten-down stocks in aerospace, retail, real estate, and auto sectors. Graduated from Swarthmore College (2007), MA Political Science from the University of Chicago (2009). Received CFA charter in 2017. Investment Analyst at Transamerica Financial Advisors, Inc."
tm-lee-coingecko,TM Lee,A,111,87,28,Co-Founder & President — CoinGecko (formerly CEO),chief,active,,CoinGecko,coingecko,T2,88,3,1,coingecko,crypto; bitcoin; blockchain; defi,,,,"BS Computer Science (minor Psychology)@Purdue University(2012); Computer Science studies@INTI International University, Malaysia",12,Malaysia,https://my.linkedin.com/in/leetm,https://x.com/tmlee,,https://www.coingecko.com/author/tmlee,https://www.coingecko.com/author/tmlee,,,Forbes (30U30 2019); BeInCrypto; Crunchbase,,"Handbook of Digital Currency (1st Edition); Handbook of Blockchain, Digital Finance, and Inclusion Volume 1",,,,,,,coingecko.com,,L1_known + Rule A (no authorUrl initially → recovered via WebSearch),,"Co-Founder and President of CoinGecko, which he launched in 2014 with Bobby Ong as a bootstrapped cryptocurrency data aggregator. Under his leadership CoinGecko has grown to serve users in over 170 countries, offering NFT data, personal portfolios and historical coin information. Born in Kuantan, Pahang, Malaysia. Co-authored Handbook of Digital Currency (1st Edition) and Handbook of Blockchain, Digital Finance, and Inclusion Volume 1. Research Fellow at Singapore University of Social Sciences assisting with blockchain course development. Listed in Forbes 30 Under 30 (2019)."
kunal-kapoor-morningstar,Kunal Kapoor,A,110,87,27,Chief Executive Officer — Morningstar,chief,active,,Morningstar,morningstar,T2,87,3,1,morningstar,investing; markets; mutual-funds; equity,CFA,CFA,n,BA Economics and Environmental Policy@Monmouth College; MBA@University of Chicago Booth School of Business,28,"Chicago, Illinois, United States",https://www.linkedin.com/in/kunal-kapoor-morningstar,,,,https://www.morningstar.com/people/kunal-kapoor,,,Morningstar; Bloomberg,,,,,500+,2026-04-16,,,,,L7 + Rule A (morningstar 403 → WebSearch recovery),,"Chief Executive Officer of Morningstar since 2017. Joined Morningstar in 1997 as a data analyst; served as director of mutual fund research, launched Morningstar Investment Services, then director of business strategy for international operations, later president and CIO of Morningstar Investment Services, then President of Morningstar before becoming CEO. Member of CFA Society of Chicago; served on the board of PitchBook prior to Morningstar's acquisition in 2016."
theresa-w-carey,Theresa W. Carey,A,109,84,30,Senior Brokerage Advisor — US & Canada,editor,active,,BrokerChooser,brokerchooser,T3,66,2,4,brokerchooser; barrons; investopedia; pcmag,stocks; personal-finance; investing,,,,,20,,https://www.linkedin.com/in/twcarey/,https://twitter.com/twcarey,https://muckrack.com/theresa-carey,https://authory.com/TheresaCarey,https://brokerchooser.com/team/theresa-w-carey,,,Barron's,tastytrade,,,,,,,,authory.com/TheresaCarey,,,,"'The OG of examining and reviewing the retail online brokerage business' — semi-retired, consulting. 19 annual Barron's broker review surveys (20-30 brokers each). Early Barron's Twitter advocate. Publishes across Barron's, Investopedia, PCMag, CIO Insight, eWEEK. 20+ yrs journalism/communications."
bradley-keoun,Bradley Keoun,A,108,84,28,"Managing Editor, Tech & Protocols",editor,active,,CoinDesk,coindesk,T2,89,5,3,coindesk; thestreet; bloomberg,crypto; blockchain; markets; financial-journalism,,,,BA Electrical Engineering & Classical Studies (double major)@Duke University; Master's in Journalism@University of Florida,20,"Austin, Texas, USA",,,https://muckrack.com/liqquidity,,https://www.coindesk.com/author/bradley-keoun,,,Bloomberg; TheStreet,,,,,,,,,,,,,"Managing Editor of Tech & Protocols at CoinDesk; oversees reporters covering blockchain technology. Previously ran CoinDesk's global crypto markets team. Two-time Loeb Awards finalist. Prior roles: Chief Global Finance & Economic Correspondent at TheStreet; editor/reporter at Bloomberg News (New York and Mexico City) covering Wall Street, emerging markets, and energy; general-assignment reporter at the Chicago Tribune; police-beat reporter at the Gainesville Sun. Based in Austin, Texas."
al-root,Al Root (Allen Root),A,108,86,25,Senior Writer / Associate Editor — Barron's,senior,active,,Barron's,barrons,T2,88,3,1,barrons,stocks; markets; investing,,,,,25,,https://www.linkedin.com/in/allen-root-b0030313/,https://x.com/DowJonesAl,https://muckrack.com/dowjonesal,https://www.alrootwriting.com/,,,,,CBS News; Cheddar; Yahoo Finance; Fox Business — Barron's Roundtable; Fox Business — Claman Countdown; Fox Business — The Big Money Show; Sirius XM; Wharton Business Radio; Barron's Live podcast,,,138586,,2026-04-16T00:00:00Z,,,alrootwriting.com,,L7 + Rule A,Awards: SABEW Best in Business (JPMorgan Chase reporting).,"Senior writer / Associate Editor at Barron's (since 2018). 17 years on Wall Street before journalism; joined Barron's from R.W. Baird where he was industrial strategist. Won SABEW's Best in Business Award for JPMorgan Chase reporting (employee backlash on layoffs, DEI changes, pay equity, return-to-office). Frequent guest on Sirius XM, Wharton Business Radio, CBS News, Cheddar, Yahoo Finance, Fox Business (Barron's Roundtable, Claman Countdown, The Big Money Show), Barron's Live podcast, The Readback."
connor-sephton,Connor Sephton,A,108,83,30,Cryptocurrency Writer / Contributor — CoinMarketCap; Head of Advertorial — Cointelegraph,contributor,active,,CoinMarketCap,coinmarketcap,T1,91,6,6,coinmarketcap; cointelegraph; decrypt; blockworks; cryptonews; crypto-news,crypto; blockchain; markets,,,,,10,"London, UK",https://www.linkedin.com/in/connor-sephton-67802316/,https://x.com/connorsephton,,,https://coinmarketcap.com/academy/author/connor-sephton,,,BBC; Sky News,,,,,,,,,,,direct_aggregate (L5.5 WebFetch success) + Rule A cross-verified,,"London-based journalist with a 10-year career as reporter, editor, and newsreader for Metro, Sky News, and BBC. Writes features for Alexandria and produces the daily CoinMarketCap newsletter. Freelance online editor for Sky News; newsreader on BBC local radio. Head of advertorial for Cointelegraph. Specialised in crypto news since 2018; also writes for Decrypt, Blockworks, and Cointelegraph. States he does not currently hold any cryptocurrencies."
enoch-yiu,Enoch Yiu,A,108,85,27,Chief Business Reporter — South China Morning Post,chief,active,,South China Morning Post,scmp,T1,90,2,1,scmp,finance; banking; markets,,,,Bachelor of Business — Communication in Journalism@Queensland University of Technology (QUT)(1991),30,Hong Kong,https://hk.linkedin.com/in/enoch-yiu-52779516,,https://muckrack.com/enoch-yiu,,https://www.scmp.com/author/enoch-yiu,,,SCMP; Yahoo Finance; CNBC,,They Mean Business: 50 exclusive interviews with Hong Kong top executives; Serving with Passion: stories of established catering brands in Hong Kong,,,,,,,,,L9 + Rule A (Muck Rack 403),,"Chief Business Reporter at South China Morning Post. Joined SCMP as business reporter in 1996. Expertise: financial regulation, banking, pension, insurance, asset management, Hong Kong markets and IPOs. Author of two books: 'They Mean Business: 50 exclusive interviews with Hong Kong top executives' and 'Serving with Passion: stories of established catering brands in Hong Kong'."
eamonn-sheridan,Eamonn Sheridan,A,108,86,25,Chief Asia-Pacific Currency Analyst,chief,active,,ForexLive,forexlive,T2,78,3,3,forexlive; newsbreak; hotcopper,forex; interbank-fx; markets; futures,,,,Undergraduate@The University of Melbourne,25,"New South Wales, Australia",,https://twitter.com/FinMktTrader,https://muckrack.com/eamonn-sheridan,,https://www.investinglive.com/author/eamonn-sheridan,,,Nasdaq,,,,,,,,,,,L1 WebFetch aggregate,,"Chief Asia-Pacific Currency Analyst at investingLive (formerly ForexLive). Spent 13 years at Bankers Trust Australia as spot foreign exchange dealer trading all major currencies across time zones, rising to Vice President running spot operations during busy European time. Left the bank just prior to its sale to run his own business, trading equities, CFDs, and futures. Now active in FX and equity index futures. 95,951+ articles published. Manages the site alongside Adam Button, Mike Paterson, Ryan Littlestone."
terry-flanagan-tradersmag,Terry Flanagan,A,108,85,27,Managing Director / Editor,editor,active,,Traders Magazine,tradersmagazine,T3,67,1,3,tradersmagazine; marketsmedia; globaltrading,markets; trading; institutional-trading; equities,CFA,CFA (Chartered Financial Analyst),n,,25,"New York, NY, USA",https://www.linkedin.com/in/terflanagan/,,https://muckrack.com/terry-flanagan,,https://www.tradersmagazine.com/staff-authors/terry-flanagan/,,,,,,,,,,,,,,"L0 Phase 0 notes + Rule A WebSearch (tradersmagazine.com author URL 404, staff-authors URL works)",,"Managing Director at Markets Media Group, overseeing the Markets Media, Traders Magazine, and GlobalTrading platforms. Former Bloomberg reporter and editor (starting 1996 as electricity reporter in the energy group) and former financial research analyst. More than 25 years of journalism experience. Earned Chartered Financial Analyst (CFA) designation in 2001."
michael-kim-zacks,Michael Kim,A,107,81,32,Senior Analyst — Zacks Small-Cap Research,senior,active,,Zacks,zacks,T2,82,3,1,zacks,stocks; equity; markets; investing,,,,,20,,https://www.linkedin.com/in/michael-kim-21990a3,,,,https://scr.zacks.com/analyst-bios/person-details/default.aspx?ItemId=61e014f8-8da1-49e4-bb2b-de081257f278,mkim@zacks.com,y,WSJ; Financial Times; Barron's; Bloomberg; Institutional Investor,CNBC; Bloomberg,,,,,,,,,,L1,,"Senior Analyst at Zacks Small-Cap Research with 20+ years of Equity Research and Investor Relations experience. Spent 16 years in sell-side Equity Research covering financial services companies at Sandler O'Neill + Partners, The Buckingham Research Group, Putnam Lovell NBF Securities, and Banc of America Securities. Recognized by Institutional Investor, The Wall Street Journal, Financial Times, and Starmine. Media appearances on CNBC, WSJ, Barron's, and Bloomberg. Before Zacks, Managing Director at MZ Group helping private and public companies; previously Managing Director at ICR leading Financial Services Investor Relations team."
jefreda-r-brown,JeFreda R. Brown,A,107,84,27,Financial Review Board Member / Financial Writer,contributor,active,,Investopedia,investopedia,T1,92,6,2,investopedia; thebalance,personal-finance; finance; investing; taxes; banking,CFEI,CFEI (Certified Financial Education Instructor),n,DBA (Finance concentration)@Walden University; MBA (Finance & Accounting)@Mississippi College; B.S. Math@Mississippi State University,20,"Birmingham, AL, USA",https://www.linkedin.com/in/jefredabrown,,,https://www.doctorjefreda.com/,https://www.thebalancemoney.com/jefreda-brown-5188075,,,,,,,,,,,,doctorjefreda.com,,,No L5.5 URL in input; Rule A recovered full bio via PRLog + The Balance author page + Finimpact. Cross-outlet (Investopedia + The Balance).,"Certified Financial Education Instructor (CFEI). Financial consultant, entrepreneur, educator, and researcher with 20+ years of financial and business experience. DBA in finance (Walden University), MBA in Finance & Accounting (Mississippi College), B.S. Math (Mississippi State University). Financial Review Board Member and Financial Writer for Investopedia and The Balance. Founder & CEO of Xaris Financial Enterprises. Professor for nearly a decade teaching personal finance, corporate finance, financial and managerial accounting at Cornell, University of Alabama Birmingham, Oregon State, and Indiana Wesleyan. Based in Birmingham, AL."
james-hyerczyk,James Hyerczyk,A,106,81,31,Senior Market Analyst — FXEmpire,senior,active,,FXEmpire,fxempire,T2,73,2,6,fxempire; oilprice; investopedia; investing; nasdaq; financemagnates,forex; futures; markets; day-trading,,,,B.A. Business Administration@St. Xavier University; M.S. Financial Markets and Trading@Illinois Institute of Technology,43,"Fort Myers, Florida, USA",https://www.linkedin.com/in/james-a-hyerczyk-0664bb354/,,https://muckrack.com/james-hyerczyk,,https://www.fxempire.com/author/jameshyerczyk,,,Nasdaq,,,,,,,,,,,L5.5-direct (404 on seed slug; corrected to /jameshyerczyk via Rule A) + Muck Rack,,"U.S.-based technical analyst, market researcher, educator, and trader with 43 years' experience. Senior market analyst at FX Empire since June 2014. Began career in Chicago in 1982 as futures market analyst for floor traders at the Chicago Board of Trade (CBOT) and the Chicago Mercantile Exchange (CME). Expertise: energy, metals, indices, currencies. Favorite instruments: gold, WTI crude oil, natural gas. Published on OilPrice.com, Investopedia, Investing.com, Nasdaq.com. Runs J.A.H. Research and Trading, LLC. Based in Fort Myers, Florida."
brian-bollinger,Brian Bollinger,A,105,83,26,"Founder, Owner, President & Analyst — Simply Safe Dividends (Seeking Alpha contributor)",contributor,active,,Seeking Alpha,seekingalpha,T2,88,8,3,seekingalpha; kiplinger; investorplace,stocks; investing; personal-finance; retirement,CPA,CPA,n,"Triple major: Finance, Accounting, Entrepreneurship (top 1% of class)@Indiana University — Kelley School of Business",10,"Greater Indianapolis, IN, USA",https://www.linkedin.com/in/brian-bollinger-b6111a11/,,,https://www.simplysafedividends.com/,https://seekingalpha.com/author/simply-safe-dividends,,,,,,,2000,,2026-04-16T00:00:00Z,,,simplysafedividends.com,,"L7-websearch (L5.5 403-blocked, Rule A recovered full bio)",,"Founder of Simply Safe Dividends (2015) — online tools and research to help investors generate safe retirement income from dividend stocks. Certified Public Accountant (CPA). Triple-majored in finance, accounting and entrepreneurship at Indiana University's Kelley School of Business, graduated in the top 1% of his class. Former equity research analyst at IronBridge Capital Management (multi-billion-dollar Chicago-area investment firm). Also publishes at Kiplinger and InvestorPlace. Located in Greater Indianapolis."
barbara-friedberg,Barbara Friedberg,A,104,80,30,Contributor / Freelance columnist,contributor,active,,The Balance,thebalancemoney,T2,84,2,5,thebalancemoney; investopedia; usnews; investorplace; yahoofinance,personal-finance; investing; retirement,MBA; MS,,,"MBA Finance@Pennsylvania State University; MS Personnel Services and Counseling@Miami University (Oxford, Ohio); BA Economics@University of Cincinnati",25,"San Jose, CA, USA",https://www.linkedin.com/in/barbarafriedberg/,,,https://barbarafriedbergpersonalfinance.com,https://www.thebalancemoney.com/barbara-friedberg-4775484,,,,,Personal Finance: An Encyclopedia of Modern Money Management; Invest and Beat the Pros — Create and Manage a Successful Investment Portfolio; How to Get Rich; Without Winning the Lottery,,,500+,2026-04-16T00:00:00Z,,,barbarafriedbergpersonalfinance.com,,L1,,"Freelance columnist since 2010. Former investment portfolio manager and CFO for a real estate holding company (1998–2019). Taught Finance and Investments at Santa Clara University and Lebanon Valley College. CEO of RoboAdvisorPros.com and BarbaraFriedbergPersonalFinance.com. Published three books on personal finance and investing. Based in San Jose, CA."
chris-beauchamp,Chris Beauchamp,A,104,83,25,Chief Market Analyst — IG Group (contributor at DayTrading.com),chief,active,,DayTrading.com,daytrading,T3,55,0,2,daytrading; ig,markets; cfd; forex; stocks; financial-journalism,,,,,15,United Kingdom,https://uk.linkedin.com/in/chris-beauchamp-3b353aa,https://x.com/ChrisB_IG,,https://www.ig.com/en/profile/chris-beauchamp,https://www.daytrading.com/contributors/chris-beauchamp,chris.beauchamp@daytrading.com,y,Bloomberg; BBC,BBC; Sky News; Bloomberg,,,,,,,,,,L5.5-direct + Rule A,,"Chief Market Analyst at IG Group since 2019, with IG since 2010 (15+ years). Background in equity research and analysis. Regular commentator and analyst on BBC, Sky News, Bloomberg and other major financial channels. Head of Market Analysis UK."
ashlyn-brooks-bankrate,Ashlyn Brooks,A,104,83,25,Finance Writer — Bankrate (freelance),staff,active,,Bankrate,bankrate,T1,90,2,4,bankrate; kiplinger; forbes; investopedia,personal-finance; taxes; insurance; investing; retirement; banking,,,,BSc Engineering Technology@; MBA@,6,"Greater Houston, Texas, United States",https://www.linkedin.com/in/ashlyn-brooks-99196a12a/,,https://muckrack.com/ashlyn-brooks,https://www.ashlynbrooks.com/,https://www.bankrate.com/authors/ashlyn-brooks/,,,Forbes; Yahoo Finance,,,,,,,,,true,,L7 + Rule A (bankrate 405),,"Finance writer with more than half a decade of experience covering taxes, insurance, investing, retirement, finance news and banking products. Former civil engineer on a mission to help others save and spend smarter through purposeful money habits. Work published across Bankrate, Forbes Advisor, Forbes Home, Investopedia, Kiplinger and Yahoo Finance."
cherry-reynard,Cherry Reynard,A,102,77,33,Freelance Financial Journalist / Contributor — Boring Money,senior,active,,Boring Money,boringmoney,T3,55,0,6,boringmoney; telegraph; investors_chronicle; morningstar; moneywise; mouthymoney,investing; personal-finance; financial-journalism; mutual-funds,,,,,25,UK,https://www.linkedin.com/in/cherry-reynard-b8b59211/,https://x.com/creynard0654,https://muckrack.com/cherry-reynard,,,,,,,Investing in Emerging Markets (co-author),,,500+,2026-04-16,,,,,L7-websearch (no authorUrl provided),,"Multi-award-winning financial journalist since 2000 with 25+ years of experience (following an earlier spell as a tax accountant). Writes regularly for a blend of national, consumer and trade publications including The Times, Telegraph, Investors Chronicle, Money Observer, Boring Money, Moneywise, Morningstar, plus trade titles like Professional Adviser and Trustnet. Large research projects for Cerulli and the Economist Intelligence Unit. Five-time winner of the AIC Freelance Journalist of the Year award (2011–2015) and six-time winner of the IMA Freelance Journalist of the Year award. Co-authored a book on investing in emerging markets."
kenji-kawase,Kenji Kawase,A,101,81,25,Chief Business News Correspondent — Nikkei Asia,chief,active,,Nikkei Asia,nikkei_asia,T2,87,0,4,nikkei_asia; ft; caixin_global; dealstreet_asia,markets; financial-journalism; tech,,,,,30,Hong Kong,,,https://muckrack.com/kenji-kawase,,https://muckrack.com/kenji-kawase,,,FT,,,,,,,,,,,L9 (Muck Rack 403) + Rule A,,"Chief Business News Correspondent at Nikkei Asia, based in Hong Kong. ~30 years as one of the most experienced Japanese foreign correspondents in Asia — has covered most parts of the region. Editor of #techAsia, a newsletter on technology in Asia combining reporting from the Financial Times and Nikkei Asia. Bylines across Nikkei Asia, Financial Times, Nikkei, Caixin Global, DealStreetAsia, Yahoo Finance, Markets Insider, Internazionale, RealClear Markets."
arielle-oshea,Arielle O'Shea,A,100,80,25,Head of Content — Investing & Taxes,chief,active,,NerdWallet,nerdwallet,T1,90,2,1,nerdwallet,investing; taxes; personal-finance,,,,BA English@Shepherd University,19,"Charlottesville, VA",https://www.linkedin.com/in/arielleoshea/,,,,https://www.nerdwallet.com/author/arielle-oshea,,y,NYT; MarketWatch; Bloomberg,Today Show; NBC News; ABC World News Tonight,,,,,,,,,,,,"Leads NerdWallet's investing and taxes team. 19+ yrs. 80+ articles, 32.3M readers. BA English (Shepherd University), based in Charlottesville VA. Previously researcher/reporter for Jean Chatzky. Appeared on Today show, NBC News, ABC World News Tonight; quoted by NYT, MarketWatch, Bloomberg."
daniel-sparks-fool,Daniel Sparks,A,100,75,33,"Contributor — The Motley Fool (Owner/CIO, Sparks Capital Management)",contributor,active,,Motley Fool,fool,T1,90,3,6,fool; fool-uk; fool-ca; time; cnn; businessinsider,stocks; investing; tech; equity,,,,,,,https://www.linkedin.com/in/danielssparks/,,https://muckrack.com/daniel-sparks,,https://www.fool.com/author/2104/,,,TIME; CNN Business; Business Insider; USA Today,,,,,,,,,,,L1 + Rule A,,"Contributing Motley Fool stock-market analyst covering technology, industrials, financials and consumer goods. Owner and Chief Investment Officer of Sparks Capital Management. His work has appeared in CNN Business, Business Insider, MSN (US/CA/UK), USA Today, AOL, TIME and Medium."
